Andorra	<http://dbpedia.org/resource/Andorra>
Ukraine	<http://dbpedia.org/resource/Ukraine>
Croatia	<http://dbpedia.org/resource/Croatia>
Liberia	<http://dbpedia.org/resource/Liberia>
Gibraltar	<http://dbpedia.org/resource/Gibraltar>
Georgia	<http://dbpedia.org/resource/Georgia_(country)>
Bangladesh	<http://dbpedia.org/resource/Bangladesh>
Ireland	<http://dbpedia.org/resource/Republic_of_Ireland>
Cameroon	<http://dbpedia.org/resource/Cameroon>
Bosnia and Herzegovina	<http://dbpedia.org/resource/Bosnia_and_Herzegovina>
Korea, Rep.	<http://dbpedia.org/resource/South_Korea>
Saudi Arabia	<http://dbpedia.org/resource/Saudi_Arabia>
South Sudan	<http://dbpedia.org/resource/South_Sudan>
Gabon	<http://dbpedia.org/resource/Gabon>
Angola	<http://dbpedia.org/resource/Angola>
Bolivia	<http://dbpedia.org/resource/Bolivia>
Chile	<http://dbpedia.org/resource/Chile>
Cuba	<http://dbpedia.org/resource/Cuba>
Slovenia	<http://dbpedia.org/resource/Slovenia>
Rwanda	<http://dbpedia.org/resource/Rwanda>
Chad	<http://dbpedia.org/resource/Chad>
Pakistan	<http://dbpedia.org/resource/Pakistan>
Macao SAR, China	<http://dbpedia.org/resource/Macau>
Thailand	<http://dbpedia.org/resource/Thailand>
Philippines	<http://dbpedia.org/resource/Philippines>
Kuwait	<http://dbpedia.org/resource/Kuwait>
Austria	<http://dbpedia.org/resource/Austria>
Congo, Dem. Rep.	<http://dbpedia.org/resource/Democratic_Republic_of_the_Congo>
Ethiopia	<http://dbpedia.org/resource/Ethiopia>
Romania	<http://dbpedia.org/resource/Romania>
Venezuela, RB	<http://dbpedia.org/resource/Venezuela>
Niger	<http://dbpedia.org/resource/Niger>
Oman	<http://dbpedia.org/resource/Oman>
Barbados	<http://dbpedia.org/resource/Barbados>
Malta	<http://dbpedia.org/resource/Malta>
Uzbekistan	<http://dbpedia.org/resource/Uzbekistan>
Puerto Rico	<http://dbpedia.org/resource/Puerto_Rico>
Spain	<http://dbpedia.org/resource/Spain>
South Africa	<http://dbpedia.org/resource/South_Africa>
Cyprus	<http://dbpedia.org/resource/Cyprus>
Sierra Leone	<http://dbpedia.org/resource/Sierra_Leone>
Seychelles	<http://dbpedia.org/resource/Seychelles>
Sudan	<http://dbpedia.org/resource/Sudan>
Cayman Islands	<http://dbpedia.org/resource/Cayman_Islands>
Albania	<http://dbpedia.org/resource/Albania>
Vietnam	<http://dbpedia.org/resource/Vietnam>
Mauritius	<http://dbpedia.org/resource/Mauritius>
Solomon Islands	<http://dbpedia.org/resource/Solomon_Islands>
Iran, Islamic Rep.	<http://dbpedia.org/resource/Iran>
Belgium	<http://dbpedia.org/resource/Belgium>
Eritrea	<http://dbpedia.org/resource/Eritrea>
Suriname	<http://dbpedia.org/resource/Suriname>
China	<http://dbpedia.org/resource/China>
Latvia	<http://dbpedia.org/resource/Latvia>
New Zealand	<http://dbpedia.org/resource/New_Zealand>
Panama	<http://dbpedia.org/resource/Panama>
Kiribati	<http://dbpedia.org/resource/Kiribati>
Benin	<http://dbpedia.org/resource/Benin>
Nicaragua	<http://dbpedia.org/resource/Nicaragua>
Uruguay	<http://dbpedia.org/resource/Uruguay>
Vanuatu	<http://dbpedia.org/resource/Vanuatu>
Liechtenstein	<http://dbpedia.org/resource/Liechtenstein>
Nepal	<http://dbpedia.org/resource/Nepal>
Azerbaijan	<http://dbpedia.org/resource/Azerbaijan>
Denmark	<http://dbpedia.org/resource/Denmark>
Yemen, Rep.	<http://dbpedia.org/resource/Yemen>
Poland	<http://dbpedia.org/resource/Poland>
Nauru	<http://dbpedia.org/resource/Nauru>
Samoa	<http://dbpedia.org/resource/Samoa>
Guinea-Bissau	<http://dbpedia.org/resource/Guinea-Bissau>
Hungary	<http://dbpedia.org/resource/Hungary>
Antigua and Barbuda	<http://dbpedia.org/resource/Antigua_and_Barbuda>
Brazil	<http://dbpedia.org/resource/Brazil>
Faroe Islands	<http://dbpedia.org/resource/Faroe_Islands>
Egypt, Arab Rep.	<http://dbpedia.org/resource/Egypt>
Marshall Islands	<http://dbpedia.org/resource/Marshall_Islands>
Bhutan	<http://dbpedia.org/resource/Bhutan>
Cote d'Ivoire	<http://dbpedia.org/resource/Ivory_Coast>
Togo	<http://dbpedia.org/resource/Togo>
Afghanistan	<http://dbpedia.org/resource/Afghanistan>
Jordan	<http://dbpedia.org/resource/Jordan>
Equatorial Guinea	<http://dbpedia.org/resource/Equatorial_Guinea>
Malawi	<http://dbpedia.org/resource/Malawi>
Singapore	<http://dbpedia.org/resource/Singapore>
Trinidad and Tobago	<http://dbpedia.org/resource/Trinidad_and_Tobago>
St. Vincent and the Grenadines	<http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines> 
European Union	<http://dbpedia.org/resource/European_Union>
Morocco	<http://dbpedia.org/resource/Morocco>
Eswatini	<http://dbpedia.org/resource/Swaziland>
Costa Rica	<http://dbpedia.org/resource/Costa_Rica>
Serbia	<http://dbpedia.org/resource/Serbia>
Congo, Rep.	<http://dbpedia.org/resource/Republic_of_the_Congo>
Micronesia, Fed. Sts.	<http://dbpedia.org/resource/Federated_States_of_Micronesia>
Switzerland	<http://dbpedia.org/resource/Switzerland>
Turks and Caicos Islands	<http://dbpedia.org/resource/Turks_and_Caicos_Islands>
Dominican Republic	<http://dbpedia.org/resource/Dominican_Republic>
Monaco	<http://dbpedia.org/resource/Monaco>
French Polynesia	<http://dbpedia.org/resource/French_Polynesia>
Maldives	<http://dbpedia.org/resource/Maldives>
Moldova	<http://dbpedia.org/resource/Moldova>
Sao Tome and Principe	<http://dbpedia.org/resource/São_Tomé_and_Príncipe>
Curacao	<http://dbpedia.org/resource/Curaçao>
Lesotho	<http://dbpedia.org/resource/Lesotho>
Greece	<http://dbpedia.org/resource/Greece>
Mexico	<http://dbpedia.org/resource/Mexico>
Central African Republic	<http://dbpedia.org/resource/Central_African_Republic>
Iceland	<http://dbpedia.org/resource/Iceland>
Korea, Dem. People’s Rep.	<http://dbpedia.org/resource/North_Korea>
Sweden	<http://dbpedia.org/resource/Sweden>
Ghana	<http://dbpedia.org/resource/Ghana>
Zambia	<http://dbpedia.org/resource/Zambia>
Gambia, The	<http://dbpedia.org/resource/The_Gambia>
Hong Kong SAR, China	<http://dbpedia.org/resource/Hong_Kong>
Namibia	<http://dbpedia.org/resource/Namibia>
France	<http://dbpedia.org/resource/France>
American Samoa	<http://dbpedia.org/resource/American_Samoa>
St. Kitts and Nevis	<http://dbpedia.org/resource/Saint_Kitts_and_Nevis>
Luxembourg	<http://dbpedia.org/resource/Luxembourg>
Bulgaria	<http://dbpedia.org/resource/Bulgaria>
Peru	<http://dbpedia.org/resource/Peru>
Mozambique	<http://dbpedia.org/resource/Mozambique>
Tunisia	<http://dbpedia.org/resource/Tunisia>
Belize	<http://dbpedia.org/resource/Belize>
Northern Mariana Islands	<http://dbpedia.org/resource/Northern_Mariana_Islands>
El Salvador	<http://dbpedia.org/resource/El_Salvador>
Virgin Islands (U.S.)	<http://dbpedia.org/resource/United_States_Virgin_Islands>
Myanmar	<http://dbpedia.org/resource/Myanmar>
Portugal	<http://dbpedia.org/resource/Portugal>
Brunei Darussalam	<http://dbpedia.org/resource/Brunei>
Grenada	<http://dbpedia.org/resource/Grenada>
Guam	<http://dbpedia.org/resource/Guam>
Mali	<http://dbpedia.org/resource/Mali>
British Virgin Islands	<http://dbpedia.org/resource/British_Virgin_Islands>
Turkmenistan	<http://dbpedia.org/resource/Turkmenistan>
Cabo Verde	<http://dbpedia.org/resource/Cape_Verde>
Guyana	<http://dbpedia.org/resource/Guyana>
Lithuania	<http://dbpedia.org/resource/Lithuania>
St. Lucia	<http://dbpedia.org/resource/Saint_Lucia>
Guinea	<http://dbpedia.org/resource/Guinea>
Comoros	<http://dbpedia.org/resource/Comoros>
St. Martin (French part)	<http://dbpedia.org/resource/Collectivity_of_Saint_Martin>
Tonga	<http://dbpedia.org/resource/Tonga>
Honduras	<http://dbpedia.org/resource/Honduras>
Paraguay	<http://dbpedia.org/resource/Paraguay>
Sint Maarten (Dutch part)	<http://dbpedia.org/resource/Sint_Maarten>
Greenland	<http://dbpedia.org/resource/Greenland>
Senegal	<http://dbpedia.org/resource/Senegal>
Germany	<http://dbpedia.org/resource/Germany>
Ecuador	<http://dbpedia.org/resource/Ecuador>
Djibouti	<http://dbpedia.org/resource/Djibouti>
Bahrain	<http://dbpedia.org/resource/Bahrain>
Indonesia	<http://dbpedia.org/resource/Indonesia>
Libya	<http://dbpedia.org/resource/Libya>
Estonia	<http://dbpedia.org/resource/Estonia>
Malaysia	<http://dbpedia.org/resource/Malaysia>
Montenegro	<http://dbpedia.org/resource/Montenegro>
Tanzania	<http://dbpedia.org/resource/Tanzania>
Papua New Guinea	<http://dbpedia.org/resource/Papua_New_Guinea>
Belarus	<http://dbpedia.org/resource/Belarus>
Canada	<http://dbpedia.org/resource/Canada>
Palau	<http://dbpedia.org/resource/Palau>
Norway	<http://dbpedia.org/resource/Norway>
Finland	<http://dbpedia.org/resource/Finland>
San Marino	<http://dbpedia.org/resource/San_Marino>
Burundi	<http://dbpedia.org/resource/Burundi>
Nigeria	<http://dbpedia.org/resource/Nigeria>
Guatemala	<http://dbpedia.org/resource/Guatemala>
Isle of Man	<http://dbpedia.org/resource/Isle_of_Man>
Haiti	<http://dbpedia.org/resource/Haiti>
Madagascar	<http://dbpedia.org/resource/Madagascar>
Aruba	<http://dbpedia.org/resource/Aruba>
India	<http://dbpedia.org/resource/India>
Slovak Republic	<http://dbpedia.org/resource/Slovakia>
Qatar	<http://dbpedia.org/resource/Qatar>
Macedonia, FYR	<http://dbpedia.org/resource/Republic_of_Macedonia>
Kosovo	<http://dbpedia.org/resource/Kosovo>
Algeria	<http://dbpedia.org/resource/Algeria>
Turkey	<http://dbpedia.org/resource/Turkey>
Bermuda	<http://dbpedia.org/resource/Bermuda>
Timor-Leste	<http://dbpedia.org/resource/East_Timor>
Dominica	<http://dbpedia.org/resource/Dominica>
Russian Federation	<http://dbpedia.org/resource/Russia>
Botswana	<http://dbpedia.org/resource/Botswana>
Kyrgyz Republic	<http://dbpedia.org/resource/Kyrgyzstan>
West Bank and Gaza	<http://dbpedia.org/resource/Palestinian_territories>
Lao PDR	<http://dbpedia.org/resource/Laos>
Bahamas, The	<http://dbpedia.org/resource/The_Bahamas>
United States	<http://dbpedia.org/resource/United_States>
Lebanon	<http://dbpedia.org/resource/Lebanon>
New Caledonia	<http://dbpedia.org/resource/New_Caledonia>
Italy	<http://dbpedia.org/resource/Italy>
Tajikistan	<http://dbpedia.org/resource/Tajikistan>
Sri Lanka	<http://dbpedia.org/resource/Sri_Lanka>
Armenia	<http://dbpedia.org/resource/Armenia>
Jamaica	<http://dbpedia.org/resource/Jamaica>
Burkina Faso	<http://dbpedia.org/resource/Burkina_Faso>
Mauritania	<http://dbpedia.org/resource/Mauritania>
Somalia	<http://dbpedia.org/resource/Somalia>
Zimbabwe	<http://dbpedia.org/resource/Zimbabwe>
Kenya	<http://dbpedia.org/resource/Kenya>
Fiji	<http://dbpedia.org/resource/Fiji>
Australia	<http://dbpedia.org/resource/Australia>
United Arab Emirates	<http://dbpedia.org/resource/United_Arab_Emirates>
Mongolia	<http://dbpedia.org/resource/Mongolia>
Czech Republic	<http://dbpedia.org/resource/Czech_Republic>
Netherlands	<http://dbpedia.org/resource/Netherlands>
Iraq	<http://dbpedia.org/resource/Iraq>
Kazakhstan	<http://dbpedia.org/resource/Kazakhstan>
Japan	<http://dbpedia.org/resource/Japan>
Tuvalu	<http://dbpedia.org/resource/Tuvalu>
Syrian Arab Republic	<http://dbpedia.org/resource/Syria>
United Kingdom	<http://dbpedia.org/resource/United_Kingdom>
Argentina	<http://dbpedia.org/resource/Argentina>
Colombia	<http://dbpedia.org/resource/Colombia>
Uganda	<http://dbpedia.org/resource/Uganda>
Israel	<http://dbpedia.org/resource/Israel>
Cambodia	<http://dbpedia.org/resource/Cambodia>
