name	rels	rels?inv
<http://dbpedia.org/resource/Afghanistan>	22	2838
<http://dbpedia.org/resource/Albania>	33	2216
<http://dbpedia.org/resource/Algeria>	35	3814
<http://dbpedia.org/resource/American_Samoa>	47	200
<http://dbpedia.org/resource/Andorra>	36	243
<http://dbpedia.org/resource/Angola>	31	898
<http://dbpedia.org/resource/Antigua_and_Barbuda>	34	142
<http://dbpedia.org/resource/Argentina>	45	10102
<http://dbpedia.org/resource/Armenia>	28	2320
<http://dbpedia.org/resource/Aruba>	23	137
<http://dbpedia.org/resource/Australia>	32	36245
<http://dbpedia.org/resource/Austria>	31	8649
<http://dbpedia.org/resource/Azerbaijan>	31	5876
<http://dbpedia.org/resource/Bahrain>	29	595
<http://dbpedia.org/resource/Bangladesh>	43	4901
<http://dbpedia.org/resource/Barbados>	26	469
<http://dbpedia.org/resource/Belarus>	27	1513
<http://dbpedia.org/resource/Belgium>	29	8211
<http://dbpedia.org/resource/Belize>	31	410
<http://dbpedia.org/resource/Benin>	30	947
<http://dbpedia.org/resource/Bermuda>	29	480
<http://dbpedia.org/resource/Bhutan>	32	694
<http://dbpedia.org/resource/Bolivia>	35	2968
<http://dbpedia.org/resource/Bosnia_and_Herzegovina>	44	5001
<http://dbpedia.org/resource/Botswana>	0	555
<http://dbpedia.org/resource/Brazil>	35	18869
<http://dbpedia.org/resource/British_Virgin_Islands>	29	93
<http://dbpedia.org/resource/Brunei>	33	315
<http://dbpedia.org/resource/Bulgaria>	28	6692
<http://dbpedia.org/resource/Burkina_Faso>	29	2847
<http://dbpedia.org/resource/Burundi>	21	401
<http://dbpedia.org/resource/Cambodia>	34	1162
<http://dbpedia.org/resource/Cameroon>	25	1689
<http://dbpedia.org/resource/Canada>	57	48631
<http://dbpedia.org/resource/Cape_Verde>	23	383
<http://dbpedia.org/resource/Cayman_Islands>	33	141
<http://dbpedia.org/resource/Central_African_Republic>	31	436
<http://dbpedia.org/resource/Chad>	29	474
<http://dbpedia.org/resource/Chile>	26	4476
<http://dbpedia.org/resource/China>	36	9240
<http://dbpedia.org/resource/Collectivity_of_Saint_Martin>	28	5
<http://dbpedia.org/resource/Colombia>	41	4911
<http://dbpedia.org/resource/Comoros>	25	220
<http://dbpedia.org/resource/Costa_Rica>	32	1012
<http://dbpedia.org/resource/Croatia>	30	5096
<http://dbpedia.org/resource/Cuba>	36	2417
<http://dbpedia.org/resource/Curaçao>	34	187
<http://dbpedia.org/resource/Cyprus>	30	1665
<http://dbpedia.org/resource/Czech_Republic>	26	8723
<http://dbpedia.org/resource/Democratic_Republic_of_the_Congo>	24	853
<http://dbpedia.org/resource/Denmark>	44	7322
<http://dbpedia.org/resource/Djibouti>	27	216
<http://dbpedia.org/resource/Dominica>	32	140
<http://dbpedia.org/resource/Dominican_Republic>	28	1836
<http://dbpedia.org/resource/East_Timor>	38	183
<http://dbpedia.org/resource/Ecuador>	37	1735
<http://dbpedia.org/resource/Egypt>	28	3601
<http://dbpedia.org/resource/El_Salvador>	23	907
<http://dbpedia.org/resource/Equatorial_Guinea>	47	181
<http://dbpedia.org/resource/Eritrea>	33	367
<http://dbpedia.org/resource/Estonia>	50	6314
<http://dbpedia.org/resource/Ethiopia>	34	1196
<http://dbpedia.org/resource/European_Union>	24	147
<http://dbpedia.org/resource/Faroe_Islands>	37	438
<http://dbpedia.org/resource/Federated_States_of_Micronesia>	25	93
<http://dbpedia.org/resource/Fiji>	35	612
<http://dbpedia.org/resource/Finland>	42	6790
<http://dbpedia.org/resource/France>	32	68633
<http://dbpedia.org/resource/French_Polynesia>	29	126
<http://dbpedia.org/resource/Gabon>	33	412
<http://dbpedia.org/resource/Georgia_(country)>	39	1271
<http://dbpedia.org/resource/Germany>	31	39879
<http://dbpedia.org/resource/Ghana>	57	2319
<http://dbpedia.org/resource/Gibraltar>	37	543
<http://dbpedia.org/resource/Greece>	38	8074
<http://dbpedia.org/resource/Greenland>	39	772
<http://dbpedia.org/resource/Grenada>	35	307
<http://dbpedia.org/resource/Guam>	51	345
<http://dbpedia.org/resource/Guatemala>	41	1109
<http://dbpedia.org/resource/Guinea-Bissau>	30	227
<http://dbpedia.org/resource/Guinea>	29	716
<http://dbpedia.org/resource/Guyana>	34	433
<http://dbpedia.org/resource/Haiti>	34	1136
<http://dbpedia.org/resource/Honduras>	33	873
<http://dbpedia.org/resource/Hong_Kong>	39	4068
<http://dbpedia.org/resource/Hungary>	37	8057
<http://dbpedia.org/resource/Iceland>	41	1458
<http://dbpedia.org/resource/India>	36	69788
<http://dbpedia.org/resource/Indonesia>	25	6311
<http://dbpedia.org/resource/Iran>	51	69215
<http://dbpedia.org/resource/Iraq>	29	1874
<http://dbpedia.org/resource/Isle_of_Man>	34	336
<http://dbpedia.org/resource/Israel>	29	5088
<http://dbpedia.org/resource/Italy>	26	32642
<http://dbpedia.org/resource/Ivory_Coast>	38	1468
<http://dbpedia.org/resource/Jamaica>	33	1582
<http://dbpedia.org/resource/Japan>	36	23408
<http://dbpedia.org/resource/Jordan>	26	985
<http://dbpedia.org/resource/Kazakhstan>	36	1687
<http://dbpedia.org/resource/Kenya>	44	3633
<http://dbpedia.org/resource/Kiribati>	29	95
<http://dbpedia.org/resource/Kosovo>	38	581
<http://dbpedia.org/resource/Kuwait>	30	639
<http://dbpedia.org/resource/Kyrgyzstan>	30	1314
<http://dbpedia.org/resource/Laos>	32	629
<http://dbpedia.org/resource/Latvia>	40	1852
<http://dbpedia.org/resource/Lebanon>	32	1928
<http://dbpedia.org/resource/Lesotho>	30	338
<http://dbpedia.org/resource/Liberia>	40	495
<http://dbpedia.org/resource/Libya>	25	804
<http://dbpedia.org/resource/Liechtenstein>	32	240
<http://dbpedia.org/resource/Lithuania>	39	2307
<http://dbpedia.org/resource/Luxembourg>	33	854
<http://dbpedia.org/resource/Macau>	31	367
<http://dbpedia.org/resource/Madagascar>	36	1705
<http://dbpedia.org/resource/Malawi>	42	276
<http://dbpedia.org/resource/Malaysia>	40	4817
<http://dbpedia.org/resource/Maldives>	36	257
<http://dbpedia.org/resource/Mali>	45	1443
<http://dbpedia.org/resource/Malta>	37	1227
<http://dbpedia.org/resource/Marshall_Islands>	25	112
<http://dbpedia.org/resource/Mauritania>	23	445
<http://dbpedia.org/resource/Mauritius>	26	491
<http://dbpedia.org/resource/Mexico>	38	13662
<http://dbpedia.org/resource/Moldova>	32	1722
<http://dbpedia.org/resource/Monaco>	35	483
<http://dbpedia.org/resource/Mongolia>	34	1064
<http://dbpedia.org/resource/Montenegro>	35	1027
<http://dbpedia.org/resource/Morocco>	24	2796
<http://dbpedia.org/resource/Mozambique>	26	580
<http://dbpedia.org/resource/Myanmar>	52	1109
<http://dbpedia.org/resource/Namibia>	33	717
<http://dbpedia.org/resource/Nauru>	27	124
<http://dbpedia.org/resource/Nepal>	42	6177
<http://dbpedia.org/resource/Netherlands>	35	14650
<http://dbpedia.org/resource/New_Caledonia>	33	158
<http://dbpedia.org/resource/New_Zealand>	39	9426
<http://dbpedia.org/resource/Nicaragua>	46	599
<http://dbpedia.org/resource/Niger>	33	534
<http://dbpedia.org/resource/Nigeria>	38	4968
<http://dbpedia.org/resource/North_Korea>	42	787
<http://dbpedia.org/resource/Northern_Mariana_Islands>	35	114
<http://dbpedia.org/resource/Norway>	59	14264
<http://dbpedia.org/resource/Oman>	22	550
<http://dbpedia.org/resource/Pakistan>	54	9787
<http://dbpedia.org/resource/Palau>	46	89
<http://dbpedia.org/resource/Palestinian_territories>	33	461
<http://dbpedia.org/resource/Panama>	29	1449
<http://dbpedia.org/resource/Papua_New_Guinea>	36	1535
<http://dbpedia.org/resource/Paraguay>	32	1296
<http://dbpedia.org/resource/Peru>	35	6357
<http://dbpedia.org/resource/Philippines>	47	10609
<http://dbpedia.org/resource/Poland>	37	66206
<http://dbpedia.org/resource/Portugal>	29	5579
<http://dbpedia.org/resource/Puerto_Rico>	30	2160
<http://dbpedia.org/resource/Qatar>	29	810
<http://dbpedia.org/resource/Republic_of_Ireland>	34	5368
<http://dbpedia.org/resource/Republic_of_Macedonia>	37	1182
<http://dbpedia.org/resource/Republic_of_the_Congo>	34	334
<http://dbpedia.org/resource/Romania>	33	17506
<http://dbpedia.org/resource/Russia>	36	15604
<http://dbpedia.org/resource/Rwanda>	28	429
<http://dbpedia.org/resource/Saint_Kitts_and_Nevis>	37	111
<http://dbpedia.org/resource/Saint_Lucia>	27	174
<http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines>	27	113
<http://dbpedia.org/resource/Samoa>	40	234
<http://dbpedia.org/resource/San_Marino>	24	243
<http://dbpedia.org/resource/Saudi_Arabia>	38	2163
<http://dbpedia.org/resource/Senegal>	45	1058
<http://dbpedia.org/resource/Serbia>	38	7529
<http://dbpedia.org/resource/Seychelles>	34	339
<http://dbpedia.org/resource/Sierra_Leone>	39	706
<http://dbpedia.org/resource/Singapore>	34	3359
<http://dbpedia.org/resource/Sint_Maarten>	26	40
<http://dbpedia.org/resource/Slovakia>	41	2746
<http://dbpedia.org/resource/Slovenia>	34	8177
<http://dbpedia.org/resource/Solomon_Islands>	26	419
<http://dbpedia.org/resource/Somalia>	27	1282
<http://dbpedia.org/resource/South_Africa>	32	9752
<http://dbpedia.org/resource/South_Korea>	36	9604
<http://dbpedia.org/resource/South_Sudan>	29	458
<http://dbpedia.org/resource/Spain>	33	21622
<http://dbpedia.org/resource/Sri_Lanka>	31	6843
<http://dbpedia.org/resource/Sudan>	28	626
<http://dbpedia.org/resource/Suriname>	43	505
<http://dbpedia.org/resource/Swaziland>	30	153
<http://dbpedia.org/resource/Sweden>	38	16531
<http://dbpedia.org/resource/Switzerland>	41	11404
<http://dbpedia.org/resource/Syria>	37	3370
<http://dbpedia.org/resource/São_Tomé_and_Príncipe>	29	125
<http://dbpedia.org/resource/Tajikistan>	37	813
<http://dbpedia.org/resource/Tanzania>	31	1381
<http://dbpedia.org/resource/Thailand>	43	6387
<http://dbpedia.org/resource/The_Bahamas>	29	128
<http://dbpedia.org/resource/The_Gambia>	34	144
<http://dbpedia.org/resource/Togo>	29	861
<http://dbpedia.org/resource/Tonga>	30	156
<http://dbpedia.org/resource/Trinidad_and_Tobago>	38	603
<http://dbpedia.org/resource/Tunisia>	29	1349
<http://dbpedia.org/resource/Turkey>	35	15855
<http://dbpedia.org/resource/Turkmenistan>	28	429
<http://dbpedia.org/resource/Turks_and_Caicos_Islands>	34	46
<http://dbpedia.org/resource/Tuvalu>	37	122
<http://dbpedia.org/resource/Uganda>	2	3198
<http://dbpedia.org/resource/Ukraine>	75	6493
<http://dbpedia.org/resource/United_Arab_Emirates>	30	1648
<http://dbpedia.org/resource/United_Kingdom>	29	75664
<http://dbpedia.org/resource/United_States>	43	218476
<http://dbpedia.org/resource/United_States_Virgin_Islands>	41	229
<http://dbpedia.org/resource/Uruguay>	31	2138
<http://dbpedia.org/resource/Uzbekistan>	36	1120
<http://dbpedia.org/resource/Vanuatu>	28	376
<http://dbpedia.org/resource/Venezuela>	34	3223
<http://dbpedia.org/resource/Vietnam>	27	3305
<http://dbpedia.org/resource/Yemen>	30	1606
<http://dbpedia.org/resource/Zambia>	31	641
<http://dbpedia.org/resource/Zimbabwe>	37	1218
